         51063467 function calls (49002903 primitive calls) in 436.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.000    0.000   19.484    3.897 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:1318(forward)
       10    0.002    0.000   19.446    1.945 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:817(forward)
      180    0.041    0.000   19.441    0.108 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:588(forward)
    74422    0.075    0.000   19.344    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\torch\nn\modules\linear.py:115(forward)
    74422   19.224    0.000   19.224    0.000 {built-in method torch._C._nn.linear}
        4    0.000    0.000   18.723    4.681 C:\Projects\form-sage\fast_processor_gemini.py:483(process_image)
       15    0.000    0.000   17.602    1.173 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\_api_client.py:392(_request_unauthorized)
       67    0.018    0.000   16.297    0.243 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\auto\auto_factory.py:447(from_pretrained)
        5    0.000    0.000   15.858    3.172 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:1071(forward)
      737    0.004    0.000   14.185    0.019 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\utils\hub.py:270(cached_file)
 1407/737    0.008    0.000   14.150    0.019 C:\Projects\form-sage\.venv310\lib\site-packages\huggingface_hub\utils\_validators.py:98(_inner_fn)
      134    0.001    0.000   14.031    0.105 C:\Projects\form-sage\.venv310\lib\site-packages\huggingface_hub\file_download.py:661(hf_hub_download)
      134    0.002    0.000   14.012    0.105 C:\Projects\form-sage\.venv310\lib\site-packages\huggingface_hub\file_download.py:880(_hf_hub_download_to_cache_dir)
      134    0.001    0.000   13.905    0.104 C:\Projects\form-sage\.venv310\lib\site-packages\huggingface_hub\file_download.py:1321(_get_metadata_or_catch_error)
      134    0.002    0.000   13.900    0.104 C:\Projects\form-sage\.venv310\lib\site-packages\huggingface_hub\file_download.py:1244(get_hf_file_metadata)
  268/134    0.002    0.000   13.889    0.104 C:\Projects\form-sage\.venv310\lib\site-packages\huggingface_hub\file_download.py:258(_request_wrapper)
      134    0.001    0.000   13.790    0.103 C:\Projects\form-sage\.venv310\lib\site-packages\huggingface_hub\utils\_http.py:90(send)
       67    0.133    0.002   12.396    0.185 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_det.py:296(__call__)
       67    9.263    0.138   12.263    0.183 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\predict_det.py:230(predict)
      180    0.003    0.000   12.028    0.067 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:572(forward)
       10    0.000    0.000   11.817    1.182 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\_api_client.py:445(request)
       10    0.000    0.000   11.817    1.182 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\_api_client.py:366(_request)
        5    0.000    0.000   10.281    2.056 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\models.py:4595(generate_content)
        5    0.000    0.000   10.280    2.056 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\models.py:3793(_generate_content)
       63    0.001    0.000   10.072    0.160 C:\Projects\form-sage\fast_processor_gemini.py:296(classify_using_text)
       63    0.000    0.000   10.072    0.160 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\zero_shot_classification.py:163(__call__)
       63    0.003    0.000   10.071    0.160 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\base.py:1239(__call__)
14450/12055    0.109    0.000   10.063    0.001 {built-in method builtins.next}
